===== 새 실행 시작: 2026-08-27T14:43:07 (FWD=226, BACK=209.1, sigma_xy_mm=100, sigma_theta_degrees=20) =====
scan=    1 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.000 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=    2 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.328 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=    3 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.090 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=    4 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.140 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=    5 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.123 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=    6 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.149 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=    7 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.109 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=    8 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.228 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=    9 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.101 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   10 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.107 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   11 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   12 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   13 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.156 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
