시간(s),라벨,포인트수(실측),최소mm(실측),중앙값mm(실측),하위20%mm(실측),고정노이즈각도목록
1.4,라벨없음,7,972,1002,984,-
2.0,라벨없음,6,964,992,978,-
2.5,라벨없음,6,967,995,980,-
3.1,라벨없음,6,968,995,980,-
3.6,라벨없음,6,964,994,976,-
4.2,라벨없음,1,5640,5640,5640,"164,165,166,167,168,169,170,171"
4.8,라벨없음,0,,,,"165,166,167,168,169,170,171"
5.3,라벨없음,1,1010,1010,1010,"165,166,167,168,170,171"
5.9,라벨없음,3,984,1010,984,"165,166,167,168,170,171"
6.4,라벨없음,1,988,988,988,"165,166,167,168,170,171"
7.0,라벨없음,2,966,978,966,"165,166,167,170"
7.5,라벨없음,2,960,978,960,"165,166,167,169,170"
8.1,라벨없음,1,966,966,966,"165,166,167,169,170"
8.6,라벨없음,3,968,992,968,"165,166,167,169,170"
9.2,라벨없음,4,968,996,968,"165,166,169,170"
9.7,라벨없음,1,1009,1009,1009,"165,166,167,168,169,170,171"
10.3,라벨없음,0,,,,"164,165,166,167,168,170,171"
10.8,라벨없음,3,986,1006,986,"164,166,167,168,170,171"
11.4,라벨없음,1,991,991,991,"164,166,167,168,170,171"
11.9,라벨없음,1,1009,1009,1009,"166,167,168,170,171"
12.5,라벨없음,1,964,964,964,"165,166,167,168,169,170"
13.0,라벨없음,7,326,356,353,"165,166,168,169,170"
13.6,라벨없음,12,340,352,344,"165,166,168,169,170"
14.2,라벨없음,10,306,312,310,"165,166,168"
14.7,라벨없음,10,281,287,283,"165,166"
15.3,라벨없음,12,269,273,270,165
15.8,라벨없음,15,260,262,260,-
16.4,라벨없음,15,251,255,253,-
16.9,라벨없음,15,246,248,246,-
17.5,라벨없음,16,232,236,234,-
18.0,라벨없음,15,222,227,224,-
18.6,라벨없음,15,214,220,215,-
19.1,라벨없음,11,197,204,197,-
19.7,라벨없음,6,176,180,177,-
20.2,라벨없음,5,146,153,146,-
20.8,라벨없음,4,140,146,140,-
21.3,라벨없음,1,130,130,130,-
21.9,라벨없음,3,124,126,124,-
22.4,라벨없음,4,104,110,104,-
23.0,라벨없음,4,136,136,136,-
23.6,라벨없음,12,170,180,172,-
24.1,라벨없음,12,183,191,188,-
24.7,라벨없음,9,201,205,202,-
25.2,라벨없음,5,234,234,234,-
25.8,라벨없음,6,261,270,262,-
26.3,라벨없음,6,273,286,276,-
26.9,라벨없음,6,288,315,291,-
27.4,라벨없음,8,280,301,282,-
28.0,라벨없음,7,288,307,289,-
28.5,라벨없음,8,297,326,300,-
29.1,라벨없음,8,487,501,490,-
29.6,라벨없음,8,469,717,476,-
30.2,라벨없음,10,221,225,223,-
30.7,라벨없음,10,331,334,333,-
31.3,라벨없음,12,447,603,450,-
31.8,라벨없음,14,496,846,501,-
32.4,라벨없음,11,522,881,530,-
32.9,라벨없음,12,536,872,544,-
33.5,라벨없음,11,104,816,554,-
34.1,라벨없음,10,104,682,526,-
34.6,라벨없음,9,104,512,495,-
35.2,라벨없음,9,458,484,460,-
35.7,라벨없음,10,434,454,442,-
36.3,라벨없음,10,433,452,438,-
36.8,라벨없음,8,487,498,488,-
37.4,라벨없음,11,555,825,564,-
37.9,라벨없음,10,104,457,446,-
38.5,라벨없음,14,801,866,808,-
39.0,라벨없음,4,326,994,326,-
39.6,라벨없음,7,191,1032,192,-
40.1,라벨없음,4,194,1073,194,-
40.7,라벨없음,7,191,1046,192,-
41.2,라벨없음,6,180,1052,180,-
41.8,라벨없음,3,181,1096,181,-
42.3,라벨없음,2,3861,3985,3861,-
42.9,라벨없음,5,3333,4079,3844,-
43.4,라벨없음,3,176,3886,176,-
44.0,라벨없음,11,351,375,356,-
44.6,라벨없음,10,332,334,333,-
45.1,라벨없음,10,278,280,278,-
45.7,라벨없음,11,272,274,273,-
46.2,라벨없음,12,104,273,272,-
46.8,라벨없음,13,104,268,266,-
47.3,라벨없음,10,246,249,246,-
47.9,라벨없음,8,196,197,196,-
48.4,라벨없음,9,335,342,335,-
49.0,라벨없음,10,489,560,502,-
49.5,라벨없음,10,590,2238,600,-
50.1,라벨없음,12,643,736,649,-
50.6,라벨없음,10,630,656,634,-
51.2,라벨없음,8,561,576,561,-
51.7,라벨없음,10,506,3589,514,-
52.3,라벨없음,9,104,484,467,-
52.8,라벨없음,19,495,526,510,-
53.4,라벨없음,23,104,468,458,-
54.0,라벨없음,22,104,408,394,-
54.5,라벨없음,23,104,379,365,-
55.1,라벨없음,20,331,347,334,-
55.6,라벨없음,24,104,298,287,-
56.2,라벨없음,19,104,329,301,-
56.7,라벨없음,9,1123,1236,1128,-
57.3,라벨없음,9,1123,1225,1127,-
57.8,라벨없음,7,1123,1153,1127,-
58.4,라벨없음,8,1122,1226,1125,-
58.9,라벨없음,6,104,1222,1147,"-174,-172,-171,169"
59.5,라벨없음,7,1113,1190,1119,-174
