filename,elapsed_s,ultrasonic_cm
shot_0001_d158cm.jpg,0.0,158.38
shot_0002_d153cm.jpg,0.3,153.0
shot_0003_d121cm.jpg,0.6,120.71
shot_0004_d134cm.jpg,0.9,134.15
shot_0005_d125cm.jpg,1.2,125.09
shot_0006_d115cm.jpg,1.5,115.09
shot_0007_d107cm.jpg,1.8,106.87
shot_0008_d73cm.jpg,2.1,72.81
shot_0009_d89cm.jpg,2.4,88.55
shot_0010_d79cm.jpg,2.7,79.0
shot_0011_d69cm.jpg,3.0,69.17
shot_0012_d59cm.jpg,3.31,59.09
shot_0013_d50cm.jpg,3.61,50.32
shot_0014_d41cm.jpg,3.91,41.48
shot_0015_d35cm.jpg,4.21,35.2
shot_0016_d26cm.jpg,4.51,25.75
shot_0017_d16cm.jpg,4.81,16.31
