filename,elapsed_s,ultrasonic_cm
shot_0001_d200cm.jpg,0.0,200.08
shot_0002_d237cm.jpg,0.31,237.42
shot_0003_d231cm.jpg,0.62,230.59
shot_0004_d180cm.jpg,0.93,180.06
shot_0005_d148cm.jpg,1.23,147.75
shot_0006_d117cm.jpg,1.53,117.43
shot_0007_d191cm.jpg,1.83,190.73
shot_0008_d291cm.jpg,2.13,290.99
shot_0009_d136cm.jpg,2.43,136.47
shot_0010_d106cm.jpg,2.73,105.52
shot_0011_d155cm.jpg,3.04,154.82
shot_0012_d146cm.jpg,3.4,145.76
shot_0013_d132cm.jpg,3.72,131.57
shot_0014_d123cm.jpg,4.02,122.53
shot_0015_d77cm.jpg,4.32,77.31
shot_0016_d68cm.jpg,4.63,67.88
shot_0017_d57cm.jpg,4.93,57.27
shot_0018_d82cm.jpg,5.23,81.52
shot_0019_d73cm.jpg,5.53,73.09
shot_0020_d65cm.jpg,5.83,64.79
shot_0021_d56cm.jpg,6.13,55.81
shot_0022_d48cm.jpg,6.43,47.51
shot_0023_d39cm.jpg,6.73,39.48
shot_0024_d29cm.jpg,7.03,28.84
shot_0025_d19cm.jpg,7.33,19.48
